temperature,DO,pH,conductivity,BOD
30.6,6.7,7.5,203,NAN
29.8,5.7,7.2,189,2
29.5,6.3,6.9,179,1.7
29.7,5.8,6.9,64,3.8
29.5,5.8,7.3,83,1.9
30,5.5,7.4,81,1.5
29.2,6.1,6.7,308,1.4
29.6,6.4,6.7,414,1
30,6.4,7.6,305,2.2
30.1,6.3,7.6,77,2.3
27.8,7.1,7.1,176,1.2
27.9,6.7,6.4,93,1.4
29.3,7.4,6.8,121,1.7
29.2,6.9,7,620,1.1
30,6,7.5,72,1.6
29,7.3,7,247,1.5
29.1,7.3,7,188,1
28.7,7,6.9,224,1.2
28.7,7.3,6.7,144,1.5
29.5,5.3,6.8,319,1.8
29,6.3,6.4,79,1.6
29.4,5.4,7.6,39,1.4
28.3,2.2,6.5,322,4.7
30.1,5.2,7.1,192,2.6
30.3,5.6,7.5,282,1.8
30.5,5.5,7.4,275,1.5
29.1,7.3,6.7,55,1.4
30.1,6.5,7.5,415,2
29.2,7.2,6.3,100,1.5
25.1,6.6,7.8,95,4.9
29.6,6.9,7.9,99,5
27.4,6.8,7.7,85,5.2
27.8,6.7,7.8,80,4.9
30.6,5.1,7.3,3937,10.3
25,5.6,7.9,468,3.6
25,6.4,7.6,541,5.7
25,5.5,7.4,6166,7.7
25.3,5.3,7.7,24062,9.9
25.1,6.7,7.6,83,4.8
26.1,3.6,7.4,4424,31.3
21.4,7.2,7.7,226,3.1
27.4,5.9,7.4,268,6.4
27.1,5.4,7.5,2413,7.4
27.2,5.8,7.3,384,5.4
27.3,5.9,7.4,269,5.1
27,6,7.3,269,8.5
27.2,6.1,7.3,196,6.1
27,5.9,7.4,269,6.4
22.6,6.3,7.8,223,4.6
28.4,6.7,7.3,9293,3.5
28,6.8,7.2,170,3.1
27.6,6.8,7.3,4175,3.3
27.9,6.9,7.3,4282,3.3
28.1,6.9,7.3,5551,3.4
27.1,6.8,7.9,5390,4.9
27.6,6.6,8.1,161,4.6
27.3,6.7,8,138,5
27.8,6.7,7.8,81,4.9
28,5.9,7.7,194,5.5
28.1,6.3,7.6,186,4.6
28.6,6.6,7.6,207,4.7
